‘ㅇㅣㄹㅂㅗㄴㅅㅣㄱ’	'/SS+ㅇㅣㄹㅂㅗㄴ/NNP+ㅅㅣㄱ/NNB+',
ㅈㅏㄹㅅㅏㅂㄴㅣㄷㅏ	ㅈㅏㄹㅅㅏㄹ/VV+ㅂㄴㅣㄷㅏ,
ㅌㅐㅇㅝㄷㅏ	ㅌㅐㅇㅜ/VV+ㅇㅓㄷㅏ,
‘ㅎㅘㅇㅈㅔ’	'/SS+ㅎㅘㅇㅈㅔ/NNG+',
ㅍㅏㅅㅓ	ㅍㅏ/VV+ㅇㅏㅅㅓ,
ㅍㅕㄹㅊㅕㄴㅏㄱㅏㅇㅑ	ㅍㅕㄹㅊㅣ/VV+ㅇㅓ/EC+ㄴㅏㄱㅏ/VX+ㅇㅏㅇㅑ,
ㅂㅓㄹㅣㅅㅣㄴㄷㅏ	ㅇㅏ/EC+ㅂㅓㄹㅣ/VX+ㅅㅣ/EP+ㄴㄷㅏ,
“ㅇㅏ-”	"/SS+ㅇㅏ/IC+-/SS+",
ㅁㅣㄹㄹㅕㄴㅏㅆ	ㅁㅣㄹㄹㅕㄴㅏ/VV+ㅇㅏㅆ,
ㅇㅕㄱㅏㅆ	ㅇㅏ/EC+ㄱㅏ/VX+ㅇㅏㅆ,
ㅁㅣㄲㅡㄹㅓㅇㅜㄴ	ㅁㅣㄲㅡㄹㅓㅂ/VA+ㄴ,
ㄱㅣㄹㄷㅡㄹㅇㅕㅈㅕㅅㅓ	ㄱㅣㄹㄷㅡㄹㅇㅣ/VV+ㅇㅓ/EC+ㅈㅣ/VX+ㅇㅓㅅㅓ,
ㄱㅓㄴㄱㅏㅇㅂㅓㅂ(+ㅎㅏㄱㅅㅡㅂㄴㅡㅇㄹㅠㄹㅈㅡㅇㅈㅣㄴ	ㄱㅓㄴㄱㅏㅇㅂㅓㅂ/NNG+(/SS+(/SS++/SW+ㅎㅏㄱㅅㅡㅂ/NNG+ㄴㅡㅇㄹㅠㄹ/NNG+ㅈㅡㅇㅈㅣㄴ,
ㅅㅓㄱㅡㄹㅍㅓ	ㅅㅓㄱㅡㄹㅍㅡ/VA+ㅇㅓ,
ㅃㅏㄹㄱㅐㅆ	ㅃㅏㄹㄱㅏㅎ/VA+ㅇㅏㅆ,
‘ㅎㅚㅇㅢ’	'/SS+ㅎㅚㅇㅢ/NNG+',
‘ㅅㅏㅇ=ㅅㅣㄴ’	'/SS+ㅅㅏㅇ/NNG+=/SW+ㅅㅣㄴ/NNG+',
ㅇㅗㅁㅏㄱㅅㅏㄹㅇㅣㄹㅏㄷㅜ	ㅇㅗㅁㅏㄱㅅㅏㄹㅇㅣ/NNG+ㅇㅣ/VCP+ㄹㅏㄷㅜ,
ㅂㅓㅅㄱㅕㄴㅐ	ㅂㅓㅅㄱㅣ/VV+ㅇㅓ/EC+ㄴㅐ/VX+ㅇㅓ,
ㄱㅕㅂㅊㅕㅈㅕ	ㄱㅕㅂㅊㅕㅈㅣ/VV+ㅇㅓ,
ㅅㅣㅂㅅㅣㅇㅗ>()	ㅅㅣ/EP+ㅂㅅㅣㅇㅗ/EC+>/SS+(/SS+)/SS+ㅇㅣ,
ㅇㅒㄱㅣㄴㄷㅔ	ㅇㅒㄱㅣ/NNG+ㅇㅣ/VCP+ㄴㄷㅔ,
ㄱㅜㄴㄷㅏ	ㄱㅜㄹ/VV+ㄴㄷㅏ,
‘ㄱㅗㅇ(空)’ㅇㅣㄴㅈㅣ	'/SS+ㄱㅗㅇ/NNG+(/SS+空/SH+)/SS+'/SS+ㅇㅣ/VV+ㄴㅈㅣ,
ㄷㅏㅁㄱㅕㅈㅕㅆ	ㄷㅏㅁㄱㅣ/VV+ㅇㅓ/EC+ㅈㅣ/VX+ㅇㅓㅆ,
%	％,
ㅃㅏㄹㄱㅏㄴ	ㅃㅏㄹㄱㅏㅎ/VA+ㄴ,
ㄱㅕㅌㄷㅡㄹㅇㅕㅆ	ㄱㅕㅌㄷㅡㄹㅇㅣ/VV+ㅇㅓㅆ,
ㄴㅐㄷㅓㄴㅈㅕㅆ	ㄴㅐㄷㅓㄴㅈㅣ/VV+ㅇㅓㅆ,
ㄱㅏㅇㅎㅏㄴ’	ㄱㅏㅇㅎㅏ/VA+ㄴ/ETM+',
‘ㅇㅣㄴㄱㅏㄴ(人間)’	'/SS+ㅇㅣㄴㄱㅏㄴ/NNG+(/SS+人間/SH+)/SS+',
ㅈㅣㄴㄱㅓ	ㅈㅣ/VX+ㄴ/ETM+ㄱㅓ/NNB+ㅇㅣ,
ㅈㅗㅁㅅㅡㄹㅓㄴ	ㅈㅗㅁㅅㅡㄹㅓㅂ/VA+ㄴ,
ㅈㅗㄹㅣㄱㅏ	ㅈㅗㄹㅣ/MAG+ㄱㅏ/VV+ㅇㅏ,
ㅇㅗㅌㅗㅂㅏㅇㅣㄷㅏ.	ㅇㅗㅌㅗㅂㅏㅇㅣ/NNG+ㅇㅣ/VCP+ㄷㅏ/EF+.,
‘ㅅㅐㅇㅇㅣㅈㅣㅈㅣㅈㅏ(生而知之者)’	'/SS+ㅅㅐㅇㅇㅣㅈㅣㅈㅣㅈㅏ/NNG+(/SS+生而知之者/SH+)/SS+',
payments	Payments,
ㅎㅐㅆㅈㅣㅇㅛ”	ㅎㅏ/VV+ㅇㅏㅆ/EP+ㅈㅣㅇㅛ/EC+"/SS+ㅇㅣ,
ㅈㅜㅁㅜㄹㄹㅓㅆ	ㅈㅜㅁㅜㄹㅡ/VV+ㅇㅓㅆ,
ㅁㅜㄹㄹㅓㄴㅏ	ㅁㅜㄹㄹㅓㄴㅏ/VV+ㅇㅏ,
‘ㄱㅜㄱㄱㅏㅇㅏㄴㅂㅗㅊㅏㅇㅝㄴ’	'/SS+ㄱㅜㄱㄱㅏ/NNG+ㅇㅏㄴㅂㅗ/NNG+ㅊㅏㅇㅝㄴ/NNG+',
D	d,
ㄱㅡㄹㅡㅊㅕㅅㅓ	ㄱㅡㄹㅡㅊㅣ/VV+ㅇㅓㅅㅓ,
M	m,
‘ㅂㅏㅂㅗㅅㅏㅇㅈㅏ’	'/SS+ㅂㅏㅂㅗㅅㅏㅇㅈㅏ/NNG+',
ㅅㅏㄴㄷㅏㄱㅜ	ㅅㅏㄹ/VV+ㄴㄷㅏㄱㅜ,
ㅁㅗㅇㅏㅆㄷㅓㄴ	ㅁㅗㅇㅡ/VV+ㅇㅏㅆ/EP+ㄷㅓㄴ,
ㅈㅣㄴㅏㄷㅗ	ㅈㅣㄴㅏ/VV+ㅇㅏㄷㅗ,
ㅂㅐㅇㅝㅅㅓ	ㅂㅐㅇㅜ/VV+ㅇㅓㅅㅓ,
ㅅㅏㄴㄷㅏㄱㅗ	ㅅㅏㄹ/VV+ㄴㄷㅏㄱㅗ,
ㅇㅗㄻㄱㅕㄷㅏㄴㅕㅆ	ㅇㅗㄻㄱㅣ/VV+ㅇㅓ/EC+ㄷㅏㄴㅣ/VV+ㅇㅓㅆ,
ㄷㅡㄹㅓㄴㅜㅇㅜㅁㅕ	ㄷㅡㄹㅓㄴㅜㅂ/VV+ㅇㅡㅁㅕ,
‘ㅎㅔㅂㅣㄱㅡㅂㅇㅣㄷㅏ’	'/SS+ㅎㅔㅂㅣㄱㅡㅂ/NNG+ㅇㅣ/VCP+ㄷㅏ/EC+',
